CUST_CODE	CUST_FNAME	CUST_LNAME	CUST_STREET	CUST_CITY	CUST_STATE	CUST_ZIP	CUST_BALANCE	INV_DATE	INV_TOTAL	EMPLOYEE_ID	INV_NUM	LINE_NUM	PROD_SKU	LINE_QTY	LINE_PRICE
86	RUBY	HUDSON	1013 SNOWLINE DRIVE	Fayetteville	NC	28305	1482.35	41486	318.32	83792	1833	4	8937-WVA	5	3.29
87	MICHEAL	KIRKLAND	1027 POLLOCK DRIVE	Greenback	TN	37742	642.45	41463	93.94	83565	1616	3	2366-EFV	3	6.59
88	LINO	VIGIL	1201 BARNES AVENUE	Alquina	IN	47331	1329.78	41454	252.15	83621	1533	5	8523-UCB	3	21.59
89	MONICA	CANTRELL	697 ADAK CIRCLE	Loachapoka	AL	36865	1255.46	41651	314.25	84191	3413	4	4784-SLU	4	14.99
90	HELEN	GOLDMAN	1823 HORIZON STREET	Catawba Heights	NC	28012	935.5	41541	287.89	83792	2352	3	6488-MIG	3	43.99
91	ALEXANDRA	PENNINGTON	481 CHALLENGER CIRCLE	Aurora	IN	47001	508.86	41574	119.96	84420	2674	1	9955-WWB	4	29.99
92	CARLENE	GONZALEZ	1162 CAMPBELL CREEK ROAD	Escanaba	MI	49829	1989	41434	153.93	83878	1336	3	3955-NWD	5	23.99
93	CIARA	BASSETT	1977 SEAWOLF DRIVE	Hope	ME	4847	1045.64	41540	81.93	84191	2347	2	5587-PIP	2	10.99
94	DOMINICK	PHELPS	62 EAST 25TH COURT	Upton	PA	17225	524.5	41326	196.84	84049	315	4	4812-CMJ	2	9.99
95	WILMA	DUNLAP	1575 KING WAY DRIVE	Bovina Center	NY	13740	2602.7	41383	180.67	84078	844	5	1045-DUY	3	6.59
96	ROLANDA	TRUJILLO	1415 AUDUBON DRIVE	Calverton	NY	11933	1636.82	41493	374.81	84078	1907	6	4200-FTI	3	14.59
97	ERWIN	ANDERSON	884 PLEASANT DRIVE	Kingston	RI	2881	2895.49	41642	12.99	83565	3341	1	5625-FVF	1	12.99
98	VALENTIN	MARINO	1377 RUSHWOOD CIRCLE	White Plains	NY	10629	448.1	41556	209.42	84219	2505	4	1838-LZI	4	12.59
99	MINERVA	VENTURA	582 WINGATE CIRCLE	West Medford	MA	2156	1818.09	41526	77.98	84276	2223	1	6865-HAO	2	38.99
100	VELDA	NAVARRO	145 CRESCENT DRIVE	Tampa	FL	33681	389.63	41515	122.95	83878	2118	2	1203-AIS	2	35.99
