EMP_NUM	EMP_FNAME	EMP_LNAME	EMP_EMAIL	EMP_PHONE	EMP_HIREDATE	EMP_TITLE	EMP_COMM	SAL_FROM	SAL_END	SAL_AMOUNT	DEPT_NUM	DEPT_NAME	DEPT_MAIL_BOX	DEPT_PHONE	SUPV_EMP_NUM
83304	TAMARA	MCDONALD	T.MCDONA3@LGCOMPANY.COM	453-9342	39010	ASSOCIATE	0	41566	 - 	27000	400	WAREHOUSE	789	555-1003	83759
83304	TAMARA	MCDONALD	T.MCDONA3@LGCOMPANY.COM	453-9342	39010	ASSOCIATE	0	41200	41565	25710	400	WAREHOUSE	789	555-1003	83759
83304	TAMARA	MCDONALD	T.MCDONA3@LGCOMPANY.COM	453-9342	39010	ASSOCIATE	0	40834	41199	23810	400	WAREHOUSE	789	555-1003	83759
83304	TAMARA	MCDONALD	T.MCDONA3@LGCOMPANY.COM	453-9342	39010	ASSOCIATE	0	40470	40834	23120	400	WAREHOUSE	789	555-1003	83759
83304	TAMARA	MCDONALD	T.MCDONA3@LGCOMPANY.COM	453-9342	39010	ASSOCIATE	0	40106	40469	22450	400	WAREHOUSE	789	555-1003	83759
83304	TAMARA	MCDONALD	T.MCDONA3@LGCOMPANY.COM	453-9342	39010	ASSOCIATE	0	39740	40105	21800	400	WAREHOUSE	789	555-1003	83759
83304	TAMARA	MCDONALD	T.MCDONA3@LGCOMPANY.COM	453-9342	39010	ASSOCIATE	0	39374	39739	20760	400	WAREHOUSE	789	555-1003	83759
83304	TAMARA	MCDONALD	T.MCDONA3@LGCOMPANY.COM	453-9342	39010	ASSOCIATE	0	39010	39374	19770	400	WAREHOUSE	789	555-1003	83759
83308	CONNIE	LOVE	C.LOVE77@LGCOMPANY.COM	495-3082	29570	SENIOR ASSOCIATE	0	41616	 - 	51240	250	CUSTOMER SERVICE	100	555-5555	84001
83308	CONNIE	LOVE	C.LOVE77@LGCOMPANY.COM	495-3082	29570	SENIOR ASSOCIATE	0	38696	39059	34720	250	CUSTOMER SERVICE	100	555-5555	84001
83308	CONNIE	LOVE	C.LOVE77@LGCOMPANY.COM	495-3082	29570	SENIOR ASSOCIATE	0	38330	38695	33710	250	CUSTOMER SERVICE	100	555-5555	84001
83308	CONNIE	LOVE	C.LOVE77@LGCOMPANY.COM	495-3082	29570	SENIOR ASSOCIATE	0	37964	38329	32730	250	CUSTOMER SERVICE	100	555-5555	84001
83308	CONNIE	LOVE	C.LOVE77@LGCOMPANY.COM	495-3082	29570	SENIOR ASSOCIATE	0	37600	37964	30310	250	CUSTOMER SERVICE	100	555-5555	84001
83308	CONNIE	LOVE	C.LOVE77@LGCOMPANY.COM	495-3082	29570	SENIOR ASSOCIATE	0	37236	37599	28060	250	CUSTOMER SERVICE	100	555-5555	84001
83308	CONNIE	LOVE	C.LOVE77@LGCOMPANY.COM	495-3082	29570	SENIOR ASSOCIATE	0	36870	37235	26720	250	CUSTOMER SERVICE	100	555-5555	84001
83308	CONNIE	LOVE	C.LOVE77@LGCOMPANY.COM	495-3082	29570	SENIOR ASSOCIATE	0	36504	36869	25450	250	CUSTOMER SERVICE	100	555-5555	84001
83308	CONNIE	LOVE	C.LOVE77@LGCOMPANY.COM	495-3082	29570	SENIOR ASSOCIATE	0	36140	36504	24240	250	CUSTOMER SERVICE	100	555-5555	84001
83308	CONNIE	LOVE	C.LOVE77@LGCOMPANY.COM	495-3082	29570	SENIOR ASSOCIATE	0	35776	36139	23090	250	CUSTOMER SERVICE	100	555-5555	84001
83308	CONNIE	LOVE	C.LOVE77@LGCOMPANY.COM	495-3082	29570	SENIOR ASSOCIATE	0	35410	35775	22420	250	CUSTOMER SERVICE	100	555-5555	84001
83308	CONNIE	LOVE	C.LOVE77@LGCOMPANY.COM	495-3082	29570	SENIOR ASSOCIATE	0	35044	35409	21770	250	CUSTOMER SERVICE	100	555-5555	84001
83308	CONNIE	LOVE	C.LOVE77@LGCOMPANY.COM	495-3082	29570	SENIOR ASSOCIATE	0	34680	35044	21140	250	CUSTOMER SERVICE	100	555-5555	84001
